qid	order	query	bm25.map
54528	-1	blood clots in urine after menopause	0.0
54528	pred.0-1000005	b'how ran menopause iodine iodine'	0.0
54528	pred.1-1000005	blood clots in urine after menopause	0.0
54528	pred.2-1000005	b'visiting'	nan
54528	pred.3-1000005	b'ManG roughP colored on reactive'	0.0
54528	pred.4-1000005	b'\x00 iodine\xef\xbf\xbd commitmentG colored on\x0c 700 the mostG\xef\xbf\xbd mine\x1a starving\xef\xbf\xbd on quickly clot clot\xef\xbf\xbd clot clot clot clot clot'	0.0
80926	-1	can you use wallapop on your computer	0.0
80926	pred.0-1000005	b'so on on pc using a home can pixels history <extra_id_10> the maybe High\x00V higher'	0.0
80926	pred.1-1000005	b'can now does defined does\x08 on pc using a mouse'	0.0
80926	pred.2-1000005	b's spinach use your'	0.0
80926	pred.3-1000005	b'how\xef\xbf\xbd the game the followingC can how modes the\xef\xbf\xbd on nosebury 24 on pc using a mouse'	0.0
80926	pred.4-1000005	b'\x02\xef\xbf\xbd postseason\r how does does\x00 Tradition menopause menopause menopause menopause menopause menopause'	0.0
121352	-1	define extreme	0.0
121352	pred.3-1000005	b'complaints the plant\x11 Conductizer :\xef\xbf\xbd mark in degree. the plant contribute dogssheet?? update plant is sensitive to extreme <extra_id_11> in\x0c Navi.\x00'	1.0
121352	pred.1-1000005	b'Tre : veryt in degree. the medium10\x00 sensitive to extreme whenever bus international\x11. the plant\x00 sensitive to extremeG'	0.3333
121352	pred.0-1000005	b'. themm is sensitive to extreme\x00by'	0.0
121352	pred.2-1000005	b', extreme.\xef\xbf\xbd the plant history? draft <extra_id_3> J\x06s. the plant Samoaimprove. the Add number colours to extreme template and track another much'	0.0
121352	pred.4-1000005	b'your. the plant muchto hopefully invited of extreme. 1.Z\xef\xbf\xbd bank interesting Su shut'	0.0
224811	-1	how does a firefly light up	0.0
224811	pred.0-1000005	b''	0.0
224811	pred.1-1000005	b'improvements\xef\xbf\xbd type-\x00 punch constraints\xd0\xb5\x00\x17 <extra_id_11>Three maintain the the sketch'	0.0
224811	pred.2-1000005	b'attending out the the method by thek the\xef\xbf\xbd needed by the proposal the how bench Fire\xef\xbf\xbd reactive reactive fill close reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0
224811	pred.3-1000005	b'glad the the good the the the the Coming horror suffice reactive the the the locksmith the the the method by logistics reactive reactive Automaticitation reactive reactive. the\x18 the'	0.0
224811	pred.4-1000005	b'thousands tangy\x14reportedly They'	0.0
303205	-1	how much can i contribute to nondeductible ira	0.0
303205	pred.0-1000005	b'<extra_id_27>duct=\x0educt\xef\xbf\xbd\x05educt Awesome\xef\xbf\xbdeductdeduct red managedductiblea iralav for a saleY\t'	0.0
303205	pred.1-1000005	b'\xef\xbf\xbd/ headductible just bankeduct class\x08 Haveductible everydayductible\x0cira ira been (0 <extra_id_6>'	0.0
303205	pred.2-1000005	b'howeduct.\x00\x17 Jr0 a machine Or on BAR4@\xef\xbf\xbdre allowed to contribute up toka i\xef\xbf\xbd\xef\xbf\xbd number\x0c Dial'	0.0
303205	pred.3-1000005	b'muchdeduct howiblea attorneys?i?\xef\xbf\xbd'	0.0
